ROI,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
41,118.8315216064453,213.5360900878906,204463934.07875264,2.623894991166421,61.770103454589844,4.409461785739438,438.4603271484375,167.094295459434,33.45016966437128,170.37161254882812,0.0,438.4603271484375,24.859687344367362,172.10338793216812,-0.7130481815037966,204463934.07875264,0.18993421579622127,1699.0725626457347
42,126.31252670288086,203.2278793334961,193645760.29385936,2.369461107985702,41.06118392944336,3.9208197272414194,279.6655578613281,159.8603824329978,24.673439053351004,156.56768035888672,7.629099369049072,272.03645849227905,17.009938362990216,162.95986884947703,-0.24115536895333126,193645760.29385936,0.23146816791235536,1000.5769838144448
43,0.0,198.02926330566407,153946562.61398622,2.5923697520388274,50.59323692321777,3.001895111715042,409.1252746582031,129.89021208969936,50.22008007069535,146.41444396972656,0.0,409.1252746582031,50.28881493192003,146.10232902140146,-0.9916265967477603,153946562.61398622,0.19066676941032218,4474.4233487707625
44,40.35729370117189,199.979052734375,173151406.13032296,2.65037769899381,42.59857940673828,4.308251319550244,252.17611694335938,139.8862661018657,38.977122804388486,148.9898223876953,0.0,252.17611694335938,20.772575344084327,150.71276983471964,-1.297505527753269,173151406.13032296,0.1941553597308311,3146.1715473312024
45,129.47451171875,194.0328369140625,42390552.608485535,2.2251671177985415,35.868797302246094,16.53877897836381,421.70782470703125,161.408400276929,21.952487280541078,158.7420196533203,41.023193359375,380.68463134765625,14.226769793951272,164.47505520088674,1.9738156829015086,42390552.608485535,0.26434286612564745,999.3721033774002
46,127.8944465637207,199.1214736938477,45123233.33495063,2.1698404626988212,36.25704574584961,3.3487410920701333,240.29959106445312,158.63938683915413,22.035378243036483,153.66085815429688,40.43159484863281,199.8679962158203,15.442098277053613,161.036929681474,0.3017379949311191,45123233.33495063,0.2656526621746598,766.4376645332097
47,139.14430236816406,249.98885192871097,706636277.6663885,2.902373380185222,62.63922119140625,4.221425368745964,319.6976623535156,193.60034963444886,37.27804088164473,199.20704650878906,0.0,319.6976623535156,26.026842763404122,199.2284558628064,-0.584926959630828,706636277.6663885,0.1607573812172376,2210.8822468973626
48,145.88149719238282,253.2652099609375,629360123.5262463,2.8445826089971415,58.38429260253906,3.894780966913842,329.9520568847656,199.61786149731415,35.1127563804642,206.36314392089844,0.0,329.9520568847656,23.85188929234025,204.63719252860378,-0.5333493997912828,629360123.5262463,0.17298134113734495,2029.089937227946
49,118.12766799926757,241.0582778930664,468288219.0323451,3.0017769634024116,59.78196334838867,3.608434778779026,330.7245178222656,182.33335541087195,38.033908801985014,184.72622680664062,0.0,330.7245178222656,25.16414710224616,188.91071830456815,-0.47880709880838385,468288219.0323451,0.1514242281078738,2441.806994960553
50,153.00350341796874,269.76018066406255,615042460.8862685,2.962071400957901,62.95777130126953,3.6908743218330513,337.0218200683594,211.89428962386017,37.66626008224355,217.64298248291016,0.0,337.0218200683594,25.726921708235107,217.27695922485458,-0.5998760091764992,615042460.8862685,0.1518655668917065,2310.0870347987848
